objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,n_PM5_P,n_PM10_P,n_PM10_b,typ_size_b,temp_C,rh,o3,moos,coreid,published_at,createdAt,updatedAt
XW2h4KQSDz,MOOSPMPSParser,1663549381,4.76,4.76,3.86,5.99,0.56,4.08,4.08,6.52,0.59,4.08,973.34,282.3,7445.6,32.45,30.72,1.4,30.79,30.8,0.56,0.26,30.81,0.49,25.0,38.6,34.163,42,e00fce68a145996ae3d821b8,2022-09-19 01:03:02.289000+00:00,2022-09-19T01:03:02.514Z,2022-09-19T01:03:02.514Z
9bfcPr0iVh,MOOSPMPSParser,1663549681,4.71,4.71,3.73,6.69,0.77,3.94,3.94,6.97,0.88,3.94,986.33,287.68,58384.96,37.73,29.66,2.71,29.74,29.75,0.45,0.12,29.75,0.44,26.1,35.8,47.287,43,e00fce6856818e5885f65487,2022-09-19 01:07:59.728000+00:00,2022-09-19T01:07:59.963Z,2022-09-19T01:07:59.963Z
hbPeRpzsDU,MOOSPMPSParser,1663549981,5.31,5.31,3.85,6.76,0.71,4.08,4.08,7.13,0.77,4.08,1048.04,308.67,7719.48,36.25,30.68,1.25,30.76,30.77,0.38,0.17,30.77,0.49,24.3,41.8,33.46,42,e00fce68a145996ae3d821b8,2022-09-19 01:13:02.284000+00:00,2022-09-19T01:13:02.477Z,2022-09-19T01:13:02.477Z
DbNAyqGJuH,MOOSPMPSParser,1663550281,5.24,5.24,3.7,7.42,0.77,3.91,3.91,7.95,0.85,3.91,1057.09,307.0,58644.33,43.16,29.44,3.01,29.51,29.52,0.77,0.27,29.53,0.46,25.4,37.8,46.072,43,e00fce6856818e5885f65487,2022-09-19 01:17:59.820000+00:00,2022-09-19T01:18:00.018Z,2022-09-19T01:18:00.018Z
H6E5j9c3Dg,MOOSPMPSParser,1663550581,5.16,5.16,4.14,6.52,0.66,4.4,4.42,7.13,0.7,4.43,1044.1,306.43,8011.98,36.67,32.97,1.59,33.08,33.09,0.62,0.33,33.1,0.5,24.1,39.6,32.274,42,e00fce68a145996ae3d821b8,2022-09-19 01:23:02.284000+00:00,2022-09-19T01:23:02.469Z,2022-09-19T01:23:02.469Z
7GsRvmFqCV,MOOSPMPSParser,1663550881,5.07,5.07,4.09,7.51,0.81,4.33,4.33,7.95,0.92,4.33,1013.75,298.62,58917.39,44.14,32.56,3.67,32.65,32.65,0.61,0.21,32.66,0.45,25.0,37.5,44.729,43,e00fce6856818e5885f65487,2022-09-19 01:27:59.819000+00:00,2022-09-19T01:28:00.036Z,2022-09-19T01:28:00.036Z
wx4v1iMgSd,MOOSPMPSParser,1663551181,5.29,5.29,4.39,6.87,0.71,4.64,4.64,7.39,0.79,4.64,1038.0,305.7,8300.7,38.72,34.92,1.92,35.01,35.02,0.66,0.2,35.02,0.49,24.0,39.8,30.683,42,e00fce68a145996ae3d821b8,2022-09-19 01:33:02.781000+00:00,2022-09-19T01:33:03.029Z,2022-09-19T01:33:03.029Z
0lkB9cnftZ,MOOSPMPSParser,1663551481,5.37,5.37,6.09,7.61,1.22,6.44,6.45,8.21,1.34,6.45,1109.98,322.15,59216.11,41.44,48.46,3.4,48.59,48.6,0.85,0.48,48.61,0.48,24.7,37.4,42.62,43,e00fce6856818e5885f65487,2022-09-19 01:37:59.887000+00:00,2022-09-19T01:38:00.079Z,2022-09-19T01:38:00.079Z
CFggkdP3r5,MOOSPMPSParser,1663551781,7.85,7.85,6.22,10.16,1.11,6.58,6.58,11.09,1.28,6.58,1496.95,437.71,8697.29,56.72,49.55,2.34,49.68,49.69,1.0,0.52,49.7,0.48,24.1,39.5,28.435,42,e00fce68a145996ae3d821b8,2022-09-19 01:43:02.313000+00:00,2022-09-19T01:43:02.529Z,2022-09-19T01:43:02.529Z
5CJBywkl26,MOOSPMPSParser,1663552081,8.37,8.37,6.06,11.94,1.24,6.41,6.41,12.32,1.34,6.41,1590.07,464.78,59617.25,60.61,48.28,5.27,48.4,48.42,0.42,0.08,48.43,0.45,24.5,37.8,39.291,43,e00fce6856818e5885f65487,2022-09-19 01:47:59.884000+00:00,2022-09-19T01:48:00.197Z,2022-09-19T01:48:00.197Z
FayuNUWfbM,MOOSPMPSParser,1663552381,9.66,9.66,8.38,12.27,1.43,8.87,8.88,13.19,1.59,8.88,1798.43,526.86,9164.24,65.17,66.7,2.48,66.87,66.89,1.03,0.55,66.91,0.51,23.9,40.3,22.937,42,e00fce68a145996ae3d821b8,2022-09-19 01:53:02.278000+00:00,2022-09-19T01:53:02.457Z,2022-09-19T01:53:02.457Z
XUdDw5e9ui,MOOSPMPSParser,1663552681,10.51,10.51,9.09,15.24,1.93,9.61,9.61,16.02,2.0,9.61,2022.82,585.49,60128.48,78.68,72.33,7.07,72.51,72.53,0.89,0.56,72.55,0.47,24.2,38.3,28.37,43,e00fce6856818e5885f65487,2022-09-19 01:57:59.739000+00:00,2022-09-19T01:57:59.927Z,2022-09-19T01:57:59.927Z
