"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","n_PM5_P","n_PM10_P","n_PM10_b","typ_size_b","temp_C","rh","o3","moos","coreid","published_at","createdAt","updatedAt","date"
"1","wq3q1KLLb3","MOOSPMPSParser",1682553720,2.97,2.97,2.37,4.43,4.43,2.64,2.75,5.23,5.23,2.81,1003.19,253.42,2957.89,30.44,18.67,2.74,18.85,18.88,1.08,0.6,18.89,0.51,32.1,25.8,53.073,42,"e00fce68f8f5a1da595c7249",2023-04-27 00:02:02,2023-04-27 00:02:02,2023-04-27 00:02:02,2023-04-27
"2","LyegHAYiD6","MOOSPMPSParser",1682553961,3.77,3.77,2.59,4.54,4.54,3.01,3.22,5.32,5.32,3.33,892.09,248.73,36816.4,19.06,20.33,1.87,20.65,20.69,0.96,0.53,20.7,0.54,31.5,25.1,52.27,42,"e00fce68a145996ae3d821b8",2023-04-27 00:06:00,2023-04-27 00:06:01,2023-04-27 00:06:01,2023-04-27
"3","M8sYC9dKr5","MOOSPMPSParser",1682554320,3.52,3.52,2.65,4.76,4.76,3.08,3.3,5.4,5.4,3.41,1093.46,281.72,3126.71,28.21,20.78,2.49,21.1,21.15,0.9,0.34,21.16,0.55,31.7,25.6,54.344,42,"e00fce68f8f5a1da595c7249",2023-04-27 00:12:02,2023-04-27 00:12:02,2023-04-27 00:12:02,2023-04-27
"4","tYArHzGrJ6","MOOSPMPSParser",1682554561,3.73,3.73,2.59,4.42,4.42,3.02,3.26,4.96,4.96,3.37,853.52,240.95,36982.17,18.37,20.29,1.3,20.63,20.67,0.56,0.3,20.68,0.57,31.4,24.9,52.063,42,"e00fce68a145996ae3d821b8",2023-04-27 00:16:00,2023-04-27 00:16:01,2023-04-27 00:16:01,2023-04-27
"5","SqkXK2pJpR","MOOSPMPSParser",1682554920,3.39,3.39,2.52,4.8,4.8,2.88,3.06,5.59,5.59,3.15,1080.81,272.7,3295.55,30.73,19.84,3.36,20.1,20.14,1.05,0.26,20.14,0.53,31.5,26.1,55.35,42,"e00fce68f8f5a1da595c7249",2023-04-27 00:22:02,2023-04-27 00:22:02,2023-04-27 00:22:02,2023-04-27
"6","OEF3PpUH25","MOOSPMPSParser",1682555161,3.93,3.93,2.54,4.76,4.76,2.89,3.05,5.39,5.39,3.14,886.83,250.12,37147,20.34,20.02,1.76,20.26,20.3,0.51,0.25,20.31,0.54,31.2,25.8,51.208,42,"e00fce68a145996ae3d821b8",2023-04-27 00:26:00,2023-04-27 00:26:01,2023-04-27 00:26:01,2023-04-27
"7","u9qBgC1zqd","MOOSPMPSParser",1682555520,3.85,3.85,2.53,5.25,5.25,2.89,3.06,6.09,6.09,3.14,1147.98,297.02,3480.22,32.2,19.92,3.24,20.18,20.21,1.06,0.49,20.22,0.53,31.4,26.5,52.265,42,"e00fce68f8f5a1da595c7249",2023-04-27 00:32:02,2023-04-27 00:32:02,2023-04-27 00:32:02,2023-04-27
"8","PiZoHAaEli","MOOSPMPSParser",1682555761,4.25,4.25,2.63,5.17,5.17,3,3.18,5.9,5.9,3.27,974.84,270.97,37329.04,22.55,20.72,1.67,20.98,21.02,0.9,0.47,21.03,0.52,31,26.8,51.453,42,"e00fce68a145996ae3d821b8",2023-04-27 00:36:01,2023-04-27 00:36:01,2023-04-27 00:36:01,2023-04-27
"9","uK4a3HWXW2","MOOSPMPSParser",1682556120,3.41,3.41,2.86,4.46,4.46,3.22,3.38,5.1,5.1,3.46,1062.94,269.77,3652.84,27.62,22.52,2.2,22.77,22.81,0.95,0.34,22.82,0.53,31.5,27,52.257,42,"e00fce68f8f5a1da595c7249",2023-04-27 00:42:02,2023-04-27 00:42:02,2023-04-27 00:42:02,2023-04-27
"10","yk975teUJ7","MOOSPMPSParser",1682556361,4.44,4.44,2.48,5.32,5.32,2.87,3.08,5.96,5.96,3.19,992.79,279.68,37517.5,22.02,19.42,1.31,19.72,19.77,0.76,0.57,19.77,0.59,31,27.1,51.272,42,"e00fce68a145996ae3d821b8",2023-04-27 00:46:00,2023-04-27 00:46:01,2023-04-27 00:46:01,2023-04-27
