objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,moos,counter,ver,coreid,published_at,createdAt,updatedAt
NWyVWDPPPG,MOOSPMv3Parser,1689325200,0.0,0.0,0.55,0.05,0.05,0.82,1.03,0.18,0.18,1.13,77.61,19.77,22.28,4.86,4.01,0.68,4.31,4.36,23.0,42.3,4.38,0.76,0.0,24.9,0.0,47.5,0.0,123.4,1.0,47.047611,-122.882072,41.695999,6,58,600,2,e00fce68afb0ec9f5087904a,2023-07-14 09:00:02.148000+00:00,2023-07-14T09:00:02.326Z,2023-07-14T09:00:02.326Z
jYGL6SguZh,MOOSPMv3Parser,1689325200,1.44,1.44,1.99,2.45,2.45,2.16,2.22,2.8,2.8,2.25,456.33,124.87,6162.08,19.45,15.5,2.06,15.63,15.65,20.2,42.0,15.65,0.46,22.3,21.9,45.5,46.4,16.933,198.4,1.0,36.139,-120.368362,185.235001,0,58,600,1,e00fce6808784ceaf209f949,2023-07-14 09:00:02.239000+00:00,2023-07-14T09:00:02.431Z,2023-07-14T09:00:02.431Z
HhB1OrW3Gt,MOOSPMv3Parser,1689325200,1.94,1.94,1.99,3.2,3.2,2.13,2.16,3.51,3.51,2.17,570.44,150.19,70609.7,25.33,15.56,1.84,15.65,15.66,21.1,41.3,15.67,0.45,23.2,22.9,43.2,42.9,17.821,165.5,2.0,36.634167,-120.382469,37.714001,7,58,600,1,e00fce6835b6173deb1a1f49,2023-07-14 09:00:02.418000+00:00,2023-07-14T09:00:02.621Z,2023-07-14T09:00:02.621Z
F0CXPDBva4,MOOSPMv3Parser,1689325201,6.36,6.36,4.61,9.21,9.21,4.85,4.87,10.14,10.14,4.88,1413.12,370.67,30142.34,56.3,36.03,3.57,36.19,36.2,19.8,49.6,36.2,0.44,21.1,21.1,59.8,59.4,0.036,310.6,1.0,36.52924,-119.293411,84.031998,8,58,599,1,e00fce68e739ecbcf9e91965,2023-07-14 09:00:02.579000+00:00,2023-07-14T09:00:02.773Z,2023-07-14T09:00:02.773Z
7YFHQWYL25,MOOSPMv3Parser,1689325201,1.71,1.71,2.36,3.0,3.0,2.5,2.51,3.25,3.25,2.52,511.28,135.55,7376.56,23.66,18.48,2.13,18.57,18.58,21.6,40.2,18.58,0.45,22.9,23.7,44.0,42.0,32.554,72.6,4.0,36.010368,-120.140266,213.977997,10,58,600,1,e00fce6850cac69f647dc199,2023-07-14 09:00:02.640000+00:00,2023-07-14T09:00:02.869Z,2023-07-14T09:00:02.869Z
nEDw3aBRb1,MOOSPMv3Parser,1689325200,1.63,1.63,2.13,2.66,2.66,2.26,2.29,2.86,2.86,2.31,504.78,140.6,32649.32,20.15,16.6,1.06,16.7,16.71,20.7,42.2,16.71,0.46,21.9,22.7,47.3,42.5,19.559,81.6,6.5,36.130035,-120.333931,170.701004,9,58,599,1,e00fce68f12da1a0c5de6248,2023-07-14 09:00:02.799000+00:00,2023-07-14T09:00:02.971Z,2023-07-14T09:00:02.971Z
oYhxnAKGGD,MOOSPMv3Parser,1689325201,-9.0,-9.0,2.04,-9.0,-9.0,2.22,2.28,-9.0,-9.0,2.31,-9.0,-9.0,149.0,-9.0,15.93,-9.0,16.05,16.06,-9.9,-9.9,16.06,0.58,22.0,21.4,46.3,48.4,18.358,184.6,3276.7,36.138981,-120.368385,185.158005,0,58,600,2,e00fce68e28dcbc9a589be10,2023-07-14 09:00:02.806000+00:00,2023-07-14T09:00:03.007Z,2023-07-14T09:00:03.007Z
6KGXsfbL93,MOOSPMv3Parser,1689325201,1.11,1.11,1.92,2.22,2.22,2.06,2.1,2.56,2.56,2.12,433.03,120.08,74829.43,20.4,14.97,2.22,15.07,15.08,22.7,31.9,15.09,0.47,25.2,25.0,37.1,37.3,0.005,158.8,2.0,35.61322,-119.689575,58.779999,10,58,599,1,e00fce68e88237db75a60608,2023-07-14 09:00:04.409000+00:00,2023-07-14T09:00:04.618Z,2023-07-14T09:00:04.618Z
iiiBDxOrId,MOOSPMv3Parser,1689325201,2.36,2.36,3.15,4.11,4.11,3.31,3.31,5.1,5.1,3.31,534.38,166.38,82799.88,33.58,24.67,3.49,24.76,24.77,0.0,0.0,24.77,0.43,22.6,22.0,55.1,56.0,10.624,225.8,1.0,36.433887,-119.922821,38.331001,0,58,600,1,e00fce6876826e255108c6bd,2023-07-14 09:00:05.228000+00:00,2023-07-14T09:00:05.486Z,2023-07-14T09:00:05.486Z
EvwYLUHaIK,MOOSPMv3Parser,1689325801,1.02,1.02,1.74,1.81,1.81,1.82,1.82,2.12,2.12,1.82,339.61,100.75,146398.66,16.38,13.58,1.13,13.63,13.64,23.3,39.6,13.64,0.43,25.6,25.4,40.4,40.9,15.891,220.5,3.0,36.785366,-119.773117,69.345001,7,58,600,1,e00fce6856818e5885f65487,2023-07-14 09:09:57.858000+00:00,2023-07-14T09:09:58.051Z,2023-07-14T09:09:58.051Z
PoxQipd3Xt,MOOSPMv3Parser,1689325800,0.0,0.0,0.47,0.16,0.16,0.73,0.92,0.17,0.17,1.02,83.61,22.3,24.86,5.86,3.37,0.46,3.66,3.71,23.1,42.4,3.73,0.8,0.0,24.9,0.0,47.7,0.0,136.4,1.0,47.047504,-122.882019,40.669998,6,58,600,2,e00fce68afb0ec9f5087904a,2023-07-14 09:10:02.132000+00:00,2023-07-14T09:10:02.368Z,2023-07-14T09:10:02.368Z
RR4hwkirNC,MOOSPMv3Parser,1689325800,1.41,1.41,1.99,2.37,2.37,2.17,2.24,2.59,2.59,2.27,445.02,125.36,6175.47,19.62,15.51,1.6,15.65,15.67,20.2,41.1,15.68,0.46,22.7,21.8,43.9,45.7,21.096,156.7,1.3,36.139072,-120.368309,182.218002,9,58,600,1,e00fce6808784ceaf209f949,2023-07-14 09:10:02.324000+00:00,2023-07-14T09:10:02.541Z,2023-07-14T09:10:02.541Z
e3oSuRwEIw,MOOSPMv3Parser,1689325800,1.83,1.83,2.0,3.09,3.09,2.1,2.1,3.32,3.32,2.1,563.73,149.23,70623.12,24.66,15.66,1.86,15.72,15.73,21.2,40.7,15.73,0.43,23.8,23.0,41.1,41.9,19.633,147.5,2.0,36.634293,-120.382393,34.283001,7,58,600,1,e00fce6835b6173deb1a1f49,2023-07-14 09:10:02.335000+00:00,2023-07-14T09:10:02.588Z,2023-07-14T09:10:02.588Z
2yCJaC1ri8,MOOSPMv3Parser,1689325801,1.69,1.69,2.32,2.78,2.78,2.47,2.5,3.12,3.12,2.52,517.07,134.79,7392.28,23.74,18.12,1.36,18.23,18.24,21.4,38.4,18.24,0.46,22.2,23.4,43.2,39.8,27.823,89.6,3.9,36.010536,-120.140327,225.229004,11,58,600,1,e00fce6850cac69f647dc199,2023-07-14 09:10:02.582000+00:00,2023-07-14T09:10:02.805Z,2023-07-14T09:10:02.805Z
rCNQlEee6L,MOOSPMv3Parser,1689325801,6.44,6.44,4.46,9.27,9.27,4.7,4.71,10.33,10.33,4.72,1455.7,375.94,30172.78,53.03,34.91,4.75,35.06,35.07,19.8,50.8,35.07,0.45,20.9,21.1,61.5,61.2,0.049,298.1,1.0,36.529221,-119.293327,89.0,10,58,599,1,e00fce68e739ecbcf9e91965,2023-07-14 09:10:02.798000+00:00,2023-07-14T09:10:02.977Z,2023-07-14T09:10:02.977Z
WqwRtKo0HK,MOOSPMv3Parser,1689325801,-9.0,-9.0,1.99,-9.0,-9.0,2.16,2.22,-9.0,-9.0,2.25,-9.0,-9.0,162.28,-9.0,15.5,-9.0,15.62,15.63,-9.9,-9.9,15.64,0.57,22.4,21.3,44.4,47.7,23.012,138.2,3276.7,36.138996,-120.368317,171.082001,8,58,600,2,e00fce68e28dcbc9a589be10,2023-07-14 09:10:02.881000+00:00,2023-07-14T09:10:03.068Z,2023-07-14T09:10:03.068Z
PgbfKqMwr9,MOOSPMv3Parser,1689325800,1.53,1.53,2.0,2.45,2.45,2.11,2.12,2.6,2.6,2.13,458.15,128.47,32663.05,18.76,15.65,0.96,15.72,15.72,20.6,42.0,15.72,0.45,21.8,22.6,47.0,42.3,19.661,83.1,7.0,36.13002,-120.333954,169.065994,12,58,599,1,e00fce68f12da1a0c5de6248,2023-07-14 09:10:03.137000+00:00,2023-07-14T09:10:03.345Z,2023-07-14T09:10:03.345Z
HPeay3T5AR,MOOSPMv3Parser,1689325801,1.18,1.18,2.14,2.09,2.09,2.33,2.41,2.25,38.83,2.44,429.7,120.5,74719.16,18.44,16.66,0.93,16.81,16.84,22.6,32.6,16.84,0.48,24.9,24.8,37.8,38.2,0.005,165.7,2.0,35.613232,-119.689568,53.275002,11,58,600,1,e00fce68e88237db75a60608,2023-07-14 09:10:04.496000+00:00,2023-07-14T09:10:04.673Z,2023-07-14T09:10:04.673Z
QezSnvghxj,MOOSPMv3Parser,1689325801,2.36,2.36,3.09,4.09,4.09,3.24,3.24,5.21,5.21,3.24,541.04,169.89,82820.75,34.39,24.14,2.68,24.23,24.24,0.0,0.0,24.24,0.44,22.4,21.9,55.9,56.5,9.972,223.0,1.0,36.433872,-119.922798,37.478001,11,58,600,1,e00fce6876826e255108c6bd,2023-07-14 09:10:05.050000+00:00,2023-07-14T09:10:05.233Z,2023-07-14T09:10:05.233Z
ofsTaGlzBg,MOOSPMv3Parser,1689326401,0.98,0.98,1.69,1.69,1.69,1.77,1.77,1.88,1.88,1.77,324.49,97.61,146409.06,15.07,13.21,0.78,13.26,13.26,23.1,39.8,13.27,0.42,25.3,25.2,40.6,41.0,15.034,225.3,3.0,36.78513,-119.773224,68.053001,7,58,600,1,e00fce6856818e5885f65487,2023-07-14 09:19:57.998000+00:00,2023-07-14T09:19:58.210Z,2023-07-14T09:19:58.210Z
cGncktrI8G,MOOSPMv3Parser,1689326400,1.53,1.53,2.02,2.63,2.63,2.22,2.3,2.94,2.94,2.35,453.96,126.73,6189.0,20.89,15.71,1.82,15.87,15.89,20.1,41.8,15.9,0.46,22.4,21.6,44.9,46.7,20.439,152.2,2.0,36.138939,-120.368347,166.095993,10,58,600,1,e00fce6808784ceaf209f949,2023-07-14 09:20:02.341000+00:00,2023-07-14T09:20:02.518Z,2023-07-14T09:20:02.518Z
luyWRbXroh,MOOSPMv3Parser,1689326400,1.67,1.67,1.99,2.91,2.91,2.09,2.1,3.6,3.6,2.11,516.8,133.45,70636.34,23.17,15.52,2.63,15.58,15.59,20.8,41.1,15.59,0.44,22.5,22.9,43.8,41.8,17.882,166.6,2.0,36.634258,-120.382347,23.837,6,58,600,1,e00fce6835b6173deb1a1f49,2023-07-14 09:20:02.404000+00:00,2023-07-14T09:20:02.630Z,2023-07-14T09:20:02.630Z
N7SBHXRu5k,MOOSPMv3Parser,1689326401,12.11,12.11,8.83,18.13,18.04,9.28,9.29,19.33,19.33,9.3,2409.1,642.48,30232.91,109.35,69.09,6.78,69.38,69.39,19.7,50.3,69.4,0.43,20.4,20.9,62.3,60.4,0.059,289.3,1.0,36.529228,-119.293381,86.427002,10,58,599,1,e00fce68e739ecbcf9e91965,2023-07-14 09:20:02.744000+00:00,2023-07-14T09:20:02.927Z,2023-07-14T09:20:02.927Z
5W6tgpF6yC,MOOSPMv3Parser,1689326401,1.65,1.65,2.28,2.62,2.62,2.4,2.4,2.91,2.91,2.4,482.56,126.99,7407.76,21.17,17.79,1.38,17.86,17.87,21.0,38.7,17.87,0.45,21.4,23.0,45.1,40.5,24.186,104.2,3.0,36.010521,-120.140366,221.882996,11,58,600,1,e00fce6850cac69f647dc199,2023-07-14 09:20:02.792000+00:00,2023-07-14T09:20:02.969Z,2023-07-14T09:20:02.969Z
