objectId,event,unixtime,m_PM1_CF1,m_PM1_ATM,m_PM1_b,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM4_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,n_PM03_P,n_PM05_P,n_PM05_b,n_PM1_P,n_PM1_b,n_PM25_P,n_PM25_b,n_PM4_b,tempC_pms,rh_pms,n_PM10_b,typ_size_b,temp_C,tempC_sen5x,rh,rh_sen5x,o3,vocIdx,noxIdx,lat,lon,alt,sats,counter,moos,ver,coreid,published_at,createdAt,updatedAt
2zSaWEk4BH,MOOSPMv3Parser,1724889600,2.56,2.56,6553.5,3.95,3.95,6553.5,6553.5,4.09,4.09,6553.5,706.62,208.02,4938418.5,30.46,6553.5,1.97,6553.5,6553.5,38.3,15.9,6553.5,65.54,0.0,327.7,0.0,655.3,50.926,6553.5,6553.5,0.0,0.0,0.0,0,590,58,1,e00fce682bbf742cd0b6768a,2024-08-29 00:00:02.079000+00:00,2024-08-29T00:00:02.394Z,2024-08-29T00:00:02.394Z
r8BHHh4z2A,MOOSPMv3Parser,1724889601,6.0,6.0,4.0,9.0,9.0,4.0,4.0,9.0,9.0,4.0,1351.0,362.0,1272.0,52.0,32.0,3.0,32.0,32.0,36.0,11.0,32.0,0.0,37.0,41.0,20.0,20.0,0.002,59.0,1.0,35.949558,-119.050285,105.332001,7,600,58,3,e00fce6808784ceaf209f949,2024-08-29 00:00:02.257000+00:00,2024-08-29T00:00:02.494Z,2024-08-29T00:00:02.494Z
uArHUGhLnK,MOOSPMv3Parser,1724889600,3.35,3.35,2.02,4.84,4.84,2.11,2.11,5.15,5.15,2.11,1243.94,256.43,21670.51,31.89,15.77,1.78,15.84,15.84,38.9,9.3,15.84,0.36,39.7,45.0,15.3,14.6,0.0,169.1,1.0,36.139034,-120.368279,187.714996,7,599,58,1,e00fce68e77e43df92405fdb,2024-08-29 00:00:02.682000+00:00,2024-08-29T00:00:02.975Z,2024-08-29T00:00:02.975Z
dX2pVXStec,MOOSPMv3Parser,1724889600,3.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,976.0,263.0,21813.0,35.0,22.0,2.0,22.0,22.0,37.0,10.0,22.0,0.0,39.0,43.0,16.0,15.0,79.822,63.0,3277.0,36.139004,-120.368324,170.903,6,600,58,3,e00fce68e28dcbc9a589be10,2024-08-29 00:00:02.720000+00:00,2024-08-29T00:00:03.122Z,2024-08-29T00:00:03.122Z
5TEF6CohXk,MOOSPMv3Parser,1724889601,4.0,4.0,4.0,7.0,7.0,5.0,6.0,8.0,8.0,6.0,876.0,267.0,1303.0,48.0,29.0,5.0,30.0,30.0,0.0,0.0,31.0,1.0,38.0,40.0,20.0,20.0,0.0,11.0,1.0,36.433689,-119.923538,30.488001,5,600,58,3,e00fce6876826e255108c6bd,2024-08-29 00:00:03.215000+00:00,2024-08-29T00:00:03.465Z,2024-08-29T00:00:03.465Z
ddl92YryRb,MOOSPMv3Parser,1724889601,3.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,852.0,238.0,23121.0,33.0,20.0,2.0,20.0,20.0,39.0,10.0,20.0,0.0,40.0,46.0,15.0,14.0,53.046,120.0,1.0,36.13884,-120.368408,188.369003,6,600,58,3,e00fce68f12da1a0c5de6248,2024-08-29 00:00:04.238000+00:00,2024-08-29T00:00:04.440Z,2024-08-29T00:00:04.440Z
cjDZ8HZjnH,MOOSPMv3Parser,1724889600,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,977.0,215.0,55628.0,32.0,19.0,2.0,19.0,19.0,36.0,7.0,19.0,0.0,39.0,42.0,13.0,14.0,510.921,109.0,1.0,36.010574,-120.140388,214.442993,11,600,58,3,e00fce6850cac69f647dc199,2024-08-29 00:00:04.545000+00:00,2024-08-29T00:00:04.850Z,2024-08-29T00:00:04.850Z
mWuDiIuRlI,MOOSPMv3Parser,1724889601,3.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,890.0,230.0,24337.0,38.0,22.0,2.0,22.0,22.0,36.0,10.0,22.0,0.0,39.0,43.0,16.0,16.0,57.263,61.0,1.0,36.138969,-120.368256,191.748993,5,600,58,3,e00fce68e88237db75a60608,2024-08-29 00:00:04.756000+00:00,2024-08-29T00:00:04.990Z,2024-08-29T00:00:04.990Z
psHE2REuQl,MOOSPMv3Parser,1724890201,8.0,8.0,6.0,11.0,11.0,6.0,6.0,11.0,11.0,6.0,1685.0,481.0,14378.0,73.0,47.0,2.0,47.0,47.0,36.0,12.0,47.0,0.0,38.0,43.0,20.0,19.0,511.483,25.0,1.0,36.78545,-119.773087,63.449001,7,599,58,3,e00fce6856818e5885f65487,2024-08-29 00:09:59.223000+00:00,2024-08-29T00:09:59.477Z,2024-08-29T00:09:59.477Z
TR0LdOBsFN,MOOSPMv3Parser,1724890200,2.49,2.49,6553.5,3.65,3.65,6553.5,6553.5,3.75,3.75,6553.5,700.54,204.03,4945074.5,27.1,6553.5,1.24,6553.5,6553.5,38.0,15.5,6553.5,65.54,0.0,327.7,0.0,655.3,50.458,6553.5,6553.5,0.0,0.0,0.0,0,590,58,1,e00fce682bbf742cd0b6768a,2024-08-29 00:10:02.014000+00:00,2024-08-29T00:10:02.246Z,2024-08-29T00:10:02.246Z
