unixtime,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,temp_C,rh,o3,lat,lon,coreid,temp_c,C1_T,C2_rh,C3_o3,b,o3_cal
1750424400,6,6,4,6,6,5,14,60,22.275,36.785446,-119.773033,e00fce682bbf742cd0b6768a,0.594442065,-0.117,0.426,8.44,,
1750424401,6,6,4,6,6,5,14,59,12.432,36.785496,-119.773186,e00fce6858b443fd80f27170,0.644855406,-0.164,0.39,11.986,,
1750424400,4,4,4,5,5,4,14,37,20.218,36.138985,-120.368225,e00fce6876826e255108c6bd,,,,,,
1750424401,0,0,4,0,0,5,14,60,14.277,36.785385,-119.773094,e00fce686dc2ef0a68fa40b0,0.673641315,-0.097,0.412,6.519,,
1750424400,0,0,4,0,0,4,14,60,0.005,36.785469,-119.773216,e00fce68b74b750aa2a7da46,,,,,,
1750424401,4,4,4,5,5,4,12,41,515.165,36.138828,-120.368675,e00fce68e77e43df92405fdb,,,,,,
1750424401,6,6,4,6,6,5,14,60,14.738,36.785374,-119.773117,e00fce68e28dcbc9a589be10,0.573744196,-0.042,0.496,3.885,,
1750424401,6,6,5,7,7,5,14,59,0.039,36.78553,-119.773209,e00fce68f12da1a0c5de6248,0.738278937,-0.067,0.399,0.896,,
1750424401,6,6,5,6,6,6,14,60,29.234,36.785194,-119.773209,e00fce68e88237db75a60608,0.501347447,-0.113,0.399,7.67,,
1750424400,5,5,4,5,5,5,12,41,517.463,36.138996,-120.368477,e00fce68e739ecbcf9e91965,,,,,,
1750425000,9,9,6,10,10,6,14,60,21.232,36.785431,-119.773064,e00fce682bbf742cd0b6768a,0.594442065,-0.117,0.426,8.44,,
1750425001,11,11,6,12,12,6,14,59,10.65,36.78537,-119.773216,e00fce6858b443fd80f27170,0.644855406,-0.164,0.39,11.986,,
1750425000,4,4,4,5,5,4,14,37,20.595,36.138996,-120.368477,e00fce6876826e255108c6bd,,,,,,
1750425001,2,2,6,3,3,6,14,60,13.669,36.785381,-119.773132,e00fce686dc2ef0a68fa40b0,0.673641315,-0.097,0.412,6.519,,
1750425000,2,2,6,2,2,6,14,60,0.006,36.785419,-119.773102,e00fce68b74b750aa2a7da46,,,,,,
1750425001,5,5,4,5,5,4,13,38,515.164,36.138882,-120.368492,e00fce68e77e43df92405fdb,,,,,,
1750425001,9,9,7,10,10,7,14,60,0.0,36.78537,-119.773163,e00fce68f12da1a0c5de6248,0.738278937,-0.067,0.399,0.896,,
1750425001,9,9,6,10,10,7,14,60,13.788,36.78524,-119.77317,e00fce68e28dcbc9a589be10,0.573744196,-0.042,0.496,3.885,,
1750425001,10,10,8,10,10,8,14,60,28.023,36.78548,-119.773148,e00fce68e88237db75a60608,0.501347447,-0.113,0.399,7.67,,
1750425000,5,5,4,5,5,5,12,40,517.359,36.138996,-120.368477,e00fce68e739ecbcf9e91965,,,,,,
1750425600,11,11,7,11,11,7,14,59,21.056,36.785389,-119.773163,e00fce682bbf742cd0b6768a,0.594442065,-0.117,0.426,8.44,,
1750425601,12,12,7,13,13,7,14,58,10.346,36.785385,-119.773216,e00fce6858b443fd80f27170,0.644855406,-0.164,0.39,11.986,,
1750425600,4,4,4,5,5,4,14,37,19.686,36.139057,-120.368355,e00fce6876826e255108c6bd,,,,,,
1750425600,3,3,6,3,3,6,14,60,0.003,36.785419,-119.773148,e00fce68b74b750aa2a7da46,,,,,,
