unixtime,m_PM25_CF1,m_PM25_ATM,m_PM25_b,m_PM10_CF1,m_PM10_ATM,m_PM10_b,temp_C,rh,o3,lat,lon,coreid,C1_T,C2_rh,C3_o3,b,o3_cal
1789592400,1,1,2,1,1,2,31,30,32.78,36.198776,-120.104485,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,39.19142361438
1789592400,7,7,5,8,8,5,30,31,45.31,36.503075,-120.325378,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1789592400,9,9,5,10,10,6,30,36,30.66,35.949596,-119.049904,e00fce6808784ceaf209f949,0.0,0.0,0.0,-999.0,-999.0
1789592400,9,9,6,9,9,6,31,33,30.664,35.775093,-119.238495,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,22.698885706584
1789592400,6,6,0,6,6,0,35,26,41.256,1.6e-05,0.00228,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,43.419064548408
1789592401,6,6,5,7,7,5,31,29,40.281,36.523331,-119.278809,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1789592401,3,3,5,4,4,6,31,33,27.007,35.963188,-119.291817,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,31.907879245712998
1789592401,6,6,4,6,6,4,37,23,512.859,36.139042,-120.36837,e00fce6850cac69f647dc199,0.0,0.0,0.0,-999.0,-999.0
1789592401,7,7,6,8,8,7,29,32,26.351,36.43372,-119.92334,e00fce6876826e255108c6bd,0.0,0.0,0.0,-999.0,-999.0
1789592401,8,8,0,9,9,0,32,27,35.378,36.187572,-119.822113,e00fce68e739ecbcf9e91965,0.0,0.0,0.0,-999.0,-999.0
1789593000,9,9,6,10,10,6,31,33,33.172,35.775059,-119.23848,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,24.559098853332003
1789593000,7,7,5,8,8,5,30,31,46.572,36.503101,-120.325325,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1789593000,8,8,6,9,9,6,30,36,31.456,35.949501,-119.049927,e00fce6808784ceaf209f949,0.0,0.0,0.0,-999.0,-999.0
1789593000,6,6,0,6,6,0,35,26,41.622,1.6e-05,0.00228,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,43.672817909046
1789593000,0,0,2,1,1,2,31,31,33.188,36.198799,-120.104431,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,39.491888853548
1789593000,6,6,5,6,6,5,31,28,39.124,36.523331,-119.278809,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1789593001,3,3,5,4,4,6,31,33,27.529,35.963158,-119.291801,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,32.314223338311
1789593001,6,6,5,7,7,5,36,23,512.85,36.139065,-120.368378,e00fce6850cac69f647dc199,0.0,0.0,0.0,-999.0,-999.0
1789593001,6,6,6,9,9,7,29,32,27.233,36.433647,-119.923409,e00fce6876826e255108c6bd,0.0,0.0,0.0,-999.0,-999.0
1789593001,8,8,0,9,9,0,32,27,35.752,36.187408,-119.82196,e00fce68e739ecbcf9e91965,0.0,0.0,0.0,-999.0,-999.0
1789593600,1,1,3,1,1,3,31,34,32.035,36.198776,-120.104462,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,39.063906980984996
1789593600,8,8,6,8,8,6,30,33,35.022,35.775009,-119.238533,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,25.478584822182
1789593600,6,6,0,7,7,0,35,26,41.951,1.6e-05,0.00228,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,43.900918607543005
1789593600,7,7,5,7,7,5,30,31,46.168,36.503181,-120.325417,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1789593600,6,6,4,6,6,5,30,30,38.41,36.523239,-119.278824,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1789593601,5,5,4,6,6,4,35,25,512.93,36.139034,-120.368362,e00fce6850cac69f647dc199,0.0,0.0,0.0,-999.0,-999.0
1789593601,4,4,5,4,4,5,32,31,26.402,35.963135,-119.291801,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,31.394432004518002
1789593601,6,6,6,7,7,6,30,31,27.582,36.433712,-119.923325,e00fce6876826e255108c6bd,0.0,0.0,0.0,-999.0,-999.0
1789593601,8,8,0,9,9,0,31,28,36.597,36.187519,-119.822365,e00fce68e739ecbcf9e91965,0.0,0.0,0.0,-999.0,-999.0
1789593600,8,8,6,9,9,6,31,35,31.069,35.949497,-119.049904,e00fce6808784ceaf209f949,0.0,0.0,0.0,-999.0,-999.0
1789594200,1,1,3,1,1,3,32,30,32.292,36.198833,-120.104424,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,39.804737142532
1789594200,8,8,6,8,8,6,31,32,33.538,35.775051,-119.23848,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,24.563568459177993
1789594200,5,5,4,6,6,5,31,28,37.75,36.523273,-119.278938,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1789594200,6,6,5,7,7,5,30,31,47.246,36.503147,-120.325394,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1789594200,6,6,0,7,7,0,35,25,41.398,1.6e-05,0.00228,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,43.398474201814
1789594200,8,8,5,8,8,5,29,36,32.651,35.949551,-119.049881,e00fce6808784ceaf209f949,0.0,0.0,0.0,-999.0,-999.0
1789594201,4,4,7,5,5,9,32,32,26.318,35.96323,-119.291794,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,31.801992800962005
1789594201,7,7,6,8,8,7,30,29,28.056,36.433727,-119.923325,e00fce6876826e255108c6bd,0.0,0.0,0.0,-999.0,-999.0
1789594201,5,5,5,6,6,5,36,25,512.842,36.138908,-120.368416,e00fce6850cac69f647dc199,0.0,0.0,0.0,-999.0,-999.0
1789594201,8,8,0,9,9,0,32,28,36.427,36.187424,-119.821945,e00fce68e739ecbcf9e91965,0.0,0.0,0.0,-999.0,-999.0
1789594800,1,1,3,1,1,4,32,34,32.484,36.198822,-120.104424,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,40.201253660964
1789594800,8,8,6,8,8,6,31,31,33.606,35.775024,-119.238495,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,24.347007954286
1789594800,6,6,0,7,7,0,35,26,42.294,1.6e-05,0.00228,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,44.138725718741995
1789594800,7,7,4,7,7,4,30,32,48.467,36.503197,-120.325417,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
1789594800,5,5,4,6,6,4,31,27,39.024,36.52335,-119.278847,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1789594801,3,3,5,4,4,6,32,31,26.603,35.963173,-119.291855,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,31.550897833277
1789594801,6,6,6,8,8,7,30,29,28.426,36.433666,-119.923355,e00fce6876826e255108c6bd,0.0,0.0,0.0,-999.0,-999.0
1789594801,8,8,0,9,9,0,33,27,36.376,36.187553,-119.822182,e00fce68e739ecbcf9e91965,0.0,0.0,0.0,-999.0,-999.0
1789594801,6,6,5,6,6,5,36,24,512.816,36.138992,-120.368454,e00fce6850cac69f647dc199,0.0,0.0,0.0,-999.0,-999.0
1789594800,8,8,5,9,9,6,30,35,32.852,35.949421,-119.04998,e00fce6808784ceaf209f949,0.0,0.0,0.0,-999.0,-999.0
1789595400,1,1,3,1,1,3,31,34,31.503,36.198853,-120.104507,e00fce686dc2ef0a68fa40b0,0.88623581,0.072284315,0.559266971,-8.783187255,38.766376952413
1789595400,7,7,5,8,8,6,31,30,36.022,35.775043,-119.238541,e00fce68e88237db75a60608,0.452680826,0.266996906,0.741711781,-22.88896785,25.871986711181997
1789595400,6,6,0,6,6,0,32,28,42.986,1.6e-05,0.00228,e00fce68e28dcbc9a589be10,0.526452479,0.119041104,0.693315193,-6.705252523,43.277224603298
1789595400,8,8,5,9,9,5,30,35,33.585,35.949421,-119.04998,e00fce6808784ceaf209f949,0.0,0.0,0.0,-999.0,-999.0
1789595400,5,5,4,6,6,5,31,27,39.288,36.523335,-119.278748,e00fce68f12da1a0c5de6248,0.0,0.0,0.0,-999.0,-999.0
1789595401,6,6,4,6,6,4,37,23,512.869,36.139027,-120.36837,e00fce6850cac69f647dc199,0.0,0.0,0.0,-999.0,-999.0
1789595401,3,3,5,4,4,5,32,31,27.84,35.963135,-119.291817,e00fce68d6b773b56ce8baa0,0.903406121,0.472949501,0.778436959,-32.72829099,32.51382435156
1789595401,6,6,6,8,8,7,29,29,28.791,36.433598,-119.923355,e00fce6876826e255108c6bd,0.0,0.0,0.0,-999.0,-999.0
1789595401,7,7,0,9,9,0,32,29,35.954,36.187504,-119.822128,e00fce68e739ecbcf9e91965,0.0,0.0,0.0,-999.0,-999.0
1789595400,7,7,4,7,7,5,30,31,47.992,36.50309,-120.325371,e00fce68e77e43df92405fdb,0.0,0.0,0.0,-999.0,-999.0
