"","objectId","event","unixtime","m_PM1_CF1","m_PM1_ATM","m_PM1_b","m_PM25_CF1","m_PM25_ATM","m_PM25_b","m_PM4_b","m_PM10_CF1","m_PM10_ATM","m_PM10_b","n_PM03_P","n_PM05_P","n_PM05_b","n_PM1_P","n_PM1_b","n_PM25_P","n_PM25_b","n_PM4_b","tempC_pms","rh_pms","n_PM10_b","typ_size_b","temp_C","tempC_sen5x","rh","rh_sen5x","o3","vocIdx","noxIdx","lat","lon","alt","sats","moos","counter","ver","coreid","published_at","createdAt","updatedAt","date"
"1","rgEIaO4yea","MOOSPMv3Parser",1681429020,0.86,0.86,2.49,2.09,2.09,2.83,3.02,2.28,2.28,3.11,477.49,119.51,16.25,20.27,19.23,0.96,19.51,19.56,21.8,20.7,19.56,0.58,24.9,25.6,17.2,16.5,2.64,35.4,0.9,0,0,0,0,58,108,1,"e00fce6835b6173deb1a1f49",2023-04-13 23:37:02,2023-04-13 23:37:02,2023-04-13 23:37:02,2023-04-14
"2","NSYvH6X569","MOOSPMv3Parser",1681503780,2.27,2.27,3.49,4.33,4.33,3.85,3.99,5.29,5.29,4.06,678.1,175.58,23.17,31.5,27.17,3.63,27.44,27.49,20.1,26,27.5,0.51,23.6,23.5,22.6,23.1,0.328,11,0.7,0,0,0,0,58,101,1,"e00fce6835b6173deb1a1f49",2023-04-14 20:23:02,2023-04-14 20:23:02,2023-04-14 20:23:02,2023-04-14
"3","RNHO6D8CKW","MOOSPMv3Parser",1681503840,0.04,0.04,0.77,0.18,0.18,0.85,0.89,0.18,0.18,0.9,258.24,63.96,44.09,3.1,5.98,0.71,6.04,6.04,20.3,26.1,6.05,0.51,23.7,23.5,23.7,23.4,0.472,35.4,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-14 20:24:02,2023-04-14 20:24:02,2023-04-14 20:24:02,2023-04-14
"4","mL4umX1aZF","MOOSPMv3Parser",1681503900,0.55,0.55,0.72,0.84,0.84,0.8,0.82,0.9,0.9,0.84,539.69,97.22,48.86,7.37,5.6,0.06,5.65,5.66,20.5,25.9,5.67,0.51,23.7,23.5,22.3,23.2,0.457,60.5,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-14 20:25:02,2023-04-14 20:25:02,2023-04-14 20:25:02,2023-04-14
"5","nKFYFExVdt","MOOSPMv3Parser",1681503960,0.38,0.38,0.66,0.84,0.84,0.72,0.76,0.92,0.92,0.77,377.88,79.76,53.28,9.82,5.18,0.36,5.23,5.24,20.7,25.8,5.24,0.51,23.8,23.5,22.5,23.5,0.351,72.6,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-14 20:26:02,2023-04-14 20:26:02,2023-04-14 20:26:02,2023-04-14
"6","GxZD46RHfu","MOOSPMv3Parser",1681504020,1.68,1.68,0.75,1.7,1.7,0.81,0.85,1.7,1.7,0.87,990.42,147.76,58.25,4.96,5.82,0,5.87,5.88,20.8,25.4,5.88,0.51,23.9,23.5,22.5,23,0.484,81.2,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-14 20:27:03,2023-04-14 20:27:03,2023-04-14 20:27:03,2023-04-14
"7","hVj86fDXUx","MOOSPMv3Parser",1681504080,0.76,0.76,0.77,0.8,0.8,0.83,0.87,0.8,0.8,0.88,522.12,96.86,63.31,7.88,5.92,0,5.98,5.99,20.9,26.4,5.99,0.51,23.9,23.5,23.4,25.5,0.497,90.1,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-14 20:28:03,2023-04-14 20:28:03,2023-04-14 20:28:03,2023-04-14
"8","0lza0beBzB","MOOSPMv3Parser",1681504140,0.37,0.37,0.86,0.55,0.55,0.96,0.98,0.71,0.71,1,352.24,72.63,69.05,8.14,6.74,0.39,6.8,6.81,21,26,6.81,0.52,23.9,23.6,22.2,23.8,0.497,100.5,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-14 20:29:03,2023-04-14 20:29:03,2023-04-14 20:29:03,2023-04-14
"9","cnFdzBCVR3","MOOSPMv3Parser",1681505400,3.11,3.11,2.22,4.93,4.93,2.32,2.32,5.13,5.13,2.32,691.77,182.39,14.96,33.21,17.36,1.87,17.43,17.43,18,27.5,17.44,0.32,19.5,16.5,27.5,33,2.74,14.5,0.6,0,0,0,0,58,85,1,"e00fce6835b6173deb1a1f49",2023-04-14 20:50:03,2023-04-14 20:50:03,2023-04-14 20:50:03,2023-04-14
"10","pQG6eJGPGl","MOOSPMv3Parser",1681505460,3.5,3.5,2.16,5.17,5.17,2.27,2.27,5.17,5.17,2.27,766.96,212.81,35.8,32.52,16.96,2.06,17.02,17.03,17.6,28.3,17.03,0.32,16.6,16.1,32.4,34.4,12.894,52.6,1,40.594181,-105.07589,1525.719971,7,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-14 20:51:03,2023-04-14 20:51:03,2023-04-14 20:51:03,2023-04-14
"11","A6s4b0YlPw","MOOSPMv3Parser",1681505520,4.33,4.33,2.35,5.69,5.69,2.46,2.46,6.02,6.02,2.46,876.98,237.77,51.63,33.12,18.38,3.48,18.43,18.44,17.2,29,18.45,0.33,13.9,15.5,37.8,35.6,15.601,69,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-14 20:52:03,2023-04-14 20:52:03,2023-04-14 20:52:03,2023-04-14
"12","pH8UdIrFjM","MOOSPMv3Parser",1681505580,4.08,4.08,2.71,5.16,5.16,2.85,2.85,5.16,5.16,2.85,841,234.04,69.97,32.31,21.27,0,21.35,21.36,16.8,29.5,21.36,0.33,11.7,15.4,43.1,35.6,17.438,83.1,1,0,0,0,0,58,60,1,"e00fce6835b6173deb1a1f49",2023-04-14 20:53:03,2023-04-14 20:53:03,2023-04-14 20:53:03,2023-04-14
